energy_type,model,training_cutoff,horizon,forecast_month,actual_index,predicted_index,error,absolute_error,pct_error,smape,model_params
electricity,sarima,2024-03,1,2024-04,127.7,127.0308,-0.6692,0.6692,-0.5241,0.5254,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 178.5935, ""n_failures"": 2}"
electricity,constant,2024-03,3,2024-06,127.7,127.5,-0.2,0.2,-0.1566,0.1567,"{""last_value"": 127.5}"
electricity,deterministic_trend,2024-03,3,2024-06,127.7,128.4457,0.7457,0.7457,0.5839,0.5822,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.5}"
electricity,ets,2024-03,3,2024-06,127.7,124.0137,-3.6863,3.6863,-2.8867,2.929,"{""selected_config"": ""Ad,A"", ""aic"": 105.6588, ""n_failures"": 0}"
electricity,sarima,2024-03,3,2024-06,127.7,128.6047,0.9047,0.9047,0.7084,0.7059,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 178.5935, ""n_failures"": 2}"
electricity,constant,2024-03,6,2024-09,126.7,127.5,0.8,0.8,0.6314,0.6294,"{""last_value"": 127.5}"
electricity,deterministic_trend,2024-03,6,2024-09,126.7,129.3984,2.6984,2.6984,2.1297,2.1073,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.5}"
electricity,ets,2024-03,6,2024-09,126.7,120.5466,-6.1534,6.1534,-4.8567,4.9775,"{""selected_config"": ""Ad,A"", ""aic"": 105.6588, ""n_failures"": 0}"
electricity,sarima,2024-03,6,2024-09,126.7,127.7261,1.0261,1.0261,0.8098,0.8066,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 178.5935, ""n_failures"": 2}"
electricity,constant,2024-03,12,2025-03,124.8,127.5,2.7,2.7,2.1635,2.1403,"{""last_value"": 127.5}"
electricity,deterministic_trend,2024-03,12,2025-03,124.8,131.325,6.525,6.525,5.2284,5.0952,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.5}"
electricity,ets,2024-03,12,2025-03,124.8,122.9992,-1.8008,1.8008,-1.4429,1.4534,"{""selected_config"": ""Ad,A"", ""aic"": 105.6588, ""n_failures"": 0}"
electricity,sarima,2024-03,12,2025-03,124.8,141.2979,16.4979,16.4979,13.2194,12.3998,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 178.5935, ""n_failures"": 2}"
electricity,constant,2024-04,1,2024-05,127.6,127.7,0.1,0.1,0.0784,0.0783,"{""last_value"": 127.7}"
electricity,deterministic_trend,2024-04,1,2024-05,127.6,128.0149,0.4149,0.4149,0.3252,0.3247,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.7}"
electricity,ets,2024-04,1,2024-05,127.6,127.1334,-0.4666,0.4666,-0.3657,0.3664,"{""selected_config"": ""Ad,A"", ""aic"": 106.3611, ""n_failures"": 0}"
electricity,sarima,2024-04,1,2024-05,127.6,128.8914,1.2914,1.2914,1.012,1.007,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""label"": ""(0,1,1)x(1,1,1)[12]"", ""aic"": 182.1866, ""n_failures"": 0}"
electricity,constant,2024-04,3,2024-07,127.2,127.7,0.5,0.5,0.3931,0.3923,"{""last_value"": 127.7}"
electricity,deterministic_trend,2024-04,3,2024-07,127.2,128.6472,1.4472,1.4472,1.1377,1.1313,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.7}"
electricity,ets,2024-04,3,2024-07,127.2,123.3648,-3.8352,3.8352,-3.0151,3.0612,"{""selected_config"": ""Ad,A"", ""aic"": 106.3611, ""n_failures"": 0}"
